Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
1356458,669442,2055,531212,5670,117181,2622,1339549,562,77011,4779,1312006,1622,100220,6538,1359711
8908520,4350386,2964,3249567,9867,135042,1331,8803988,1605,655000,21066,8739304,2908,832133,26316,8882190
2095428,1039641,3109,794093,5137,79184,2000,2060718,1535,196250,11540,2051759,2065,399456,16659,2096829
19542209,9491313,4958,7367015,16617,118065,996,19302636,2649,1041233,24198,19037564,4341,2591391,46405,19453561
10383620,5052244,6939,4011462,16617,91208,916,10183721,3716,1092046,24592,10100431,4443,1417873,35989,10488084
760077,391222,2449,319355,4442,104400,3748,743793,1039,53935,4291,736671,693,78676,5987,762062
11689442,5732095,5513,4685447,12486,91796,718,11517226,1419,743905,20391,11362304,4398,1578673,37243,11689100
3943079,1950076,3761,1485310,6108,83981,1231,3861581,1714,548316,13067,3825027,2627,596949,16807,3956971
4190713,2079943,3191,1639970,6988,100844,1370,4151076,824,293107,12582,4113142,3089,516570,19440,4217737
12807060,6271620,4457,5070931,12151,100919,753,12604311,1036,699376,16537,12394000,4366,1517870,30308,12801989
1057315,515900,1724,406573,4965,105679,3067,1041309,1059,42481,5100,1016469,1124,131205,9492,1059361
5084127,2468707,5672,1927991,12233,86121,1350,4990240,2332,522459,18516,4944754,2221,755215,23160,5148714
882235,445271,2679,345449,3406,90012,3218,864598,699,84707,5276,852419,1438,111626,6667,884659
6770010,3302191,5463,2603140,11640,86674,1206,6667784,1852,674865,20743,6603013,4007,1011016,27948,6829174
28701845,14250184,8510,9776083,21679,98400,614,28243191,4197,5002893,59840,28074573,7348,4180675,65525,28995881
3161105,1592457,2658,998891,5079,101654,1422,3135573,903,295364,16878,3110944,2668,280773,15853,3205958
626299,308118,1251,261373,3502,97098,3713,620066,406,24988,2911,601261,637,66013,5347,623989
8517685,4190738,6416,3175524,13138,118509,1342,8301038,4855,731469,21272,8264095,3584,884647,27692,8535519
7535591,3766859,3942,2895575,9139,114679,1133,7427599,3185,477284,15161,7400557,3213,759013,23800,7614893
1805832,894657,2941,734703,6052,74688,1513,1776965,393,114106,7970,1753476,2196,312188,15244,1792147
5813568,2891282,3345,2371960,6714,96441,1092,5740669,1241,313158,10839,5665153,2578,625826,17423,5822434
577737,292619,2316,230252,3746,98769,4482,567008,846,59337,4901,563374,898,62301,6775,578759
3195153,1520415,3192,1179637,9819,36583,885,3171580,573,202914,11156,3165711,1397,1363666,23647,3193694
4903185,2369611,5813,1897576,10370,85630,1111,4822514,2254,468901,13321,4781688,3063,739108,24870,4893186
731545,380433,2130,252199,3658,115639,4770,705772,2037,86187,5742,713725,1271,71938,7880,736990
7278717,3620935,2892,2670441,12014,97314,1115,7165904,2678,808643,23247,7116266,3597,958442,33279,7174064
3017804,1474705,4896,1163647,8530,81640,1579,2962596,1558,270970,12357,2929117,2439,474739,16707,3011873
39512223,19640794,6786,13157873,23844,126354,636,38997581,6171,3001997,41677,38733295,9821,4552837,67995,39346023
5758736,2904955,4852,2235103,10026,121598,1354,5664199,2865,453475,16612,5637904,2914,526979,20810,5684926
3565287,1743777,2405,1377166,6712,140129,2318,3514562,1468,207184,11125,3460446,2429,347149,13761,3570549
973764,470288,1336,376239,3536,109065,3676,956378,1518,62770,6080,944955,1977,106383,10953,967679
705749,334355,513,291570,3959,175610,6684,696599,606,24506,4421,673041,570,90534,8570,701974
21477737,10498005,7711,7905832,23042,97822,648,21156770,4768,2784348,44556,21048884,6008,2664772,55731,21216924
10617423,5170126,8608,3852714,14425,101205,1271,10420412,3759,1397823,31016,10332523,4968,1373909,35565,10516579
1415872,707855,1848,465299,5012,118900,2772,1358715,2695,56479,5194,1379078,1654,128722,11476,1420074
1787065,898044,3290,655859,5316,92041,1994,1764911,1043,191195,9554,1753946,2128,195984,13818,1754367
12671821,6217305,5143,4866006,12627,115529,1023,12488377,2547,923291,24872,12373209,4984,1420542,37778,12716164
6732219,3319907,5799,2597765,12716,94579,1150,6631529,1184,578436,18844,6517430,5728,775823,24457,6696893
3155070,1570384,4938,1287221,6606,97137,1464,3111914,664,156062,9889,3058938,2317,341613,16006,3150011
2913314,1446287,3677,1138329,6595,99431,1656,2851831,2523,262392,10983,2826818,2181,323189,13737,2912619
4467673,2198205,4556,1748732,8789,85541,1178,4384896,1584,282563,13521,4326675,3335,703627,22815,4461952
4648794,2268202,5764,1741076,11011,86582,1289,4539690,2739,404253,13527,4515876,2937,857894,28695,4664616
1344212,656330,2255,573618,4999,95631,2517,1327623,956,106537,6905,1304100,1939,141803,9329,1340825
6045680,2928013,3800,2226767,9709,134975,1473,5945846,2328,356831,15105,5898360,4973,532241,20417,6037624
6892503,3345556,2975,2650680,9065,141098,1699,6820969,1160,204079,10474,6656430,3580,625763,19408,6873003
9986857,4915905,4462,3969880,12901,97243,854,9879486,1274,571140,17544,9772151,3221,1269062,30302,9973907
5639632,2804216,3601,2222568,7740,117331,1235,5580828,759,272612,13106,5515416,3267,494683,17961,5600166
2976149,1434957,6365,1100229,9887,77752,1726,2904609,2077,376872,15052,2877843,2543,564192,24018,2981835
6137428,3008169,5283,2458337,10406,94190,1173,6020665,2166,603702,18619,5953025,3642,770175,23258,6124160
1068778,537170,2159,437651,4637,93962,3154,1053646,851,87141,5669,1042682,1320,131882,8022,1061705
1934408,966650,2645,771444,4475,99250,1724,1904211,1300,157923,7846,1877629,2210,185761,9589,1923826
3080156,1544779,2632,1143557,8281,100842,2063,3043419,1941,347631,13887,3037199,2456,379564,19019,3030281
1359711,672960,2157,541396,5389,121093,2716,1343337,756,84024,7524,1316495,2112,95711,7285,1355244
8882190,4342591,3793,3286264,9466,140098,1300,8775976,1983,692341,19188,8712974,3246,798262,25821,8885418
2096829,1036708,3586,793420,7074,82430,1870,2058918,1889,205156,11524,2053305,2388,373230,15038,2097021
19453561,9450810,4777,7446812,13820,126612,1155,19212803,2719,1006528,19834,18932499,7626,2467006,45734,19514849
10488084,5094327,7768,4046348,15467,95431,937,10281062,4093,1157280,26006,10199239,5394,1386122,34891,10386227
762062,388339,2147,323519,3879,107692,3737,744172,1649,51324,4963,738814,672,78112,6057,760394
11689100,5732207,6085,4730340,12955,96410,931,11514951,1996,757762,22301,11362386,4412,1484862,31837,11675275
3956971,1962477,3770,1495151,7032,89487,1304,3871658,2168,552835,13538,3841763,2141,583029,15382,3949342
4217737,2089676,4292,1649352,8550,104266,1628,4175002,1934,299420,13452,4136542,3140,470643,17376,4176346
12801989,6272527,4267,5119249,11502,105887,907,12593136,2228,726448,21527,12387178,4860,1489333,38199,12794885
1059361,517221,1791,407174,4739,114264,3431,1043753,834,42720,5959,1018586,1047,110244,9715,1057798
5148714,2485001,6337,1975915,11292,92541,1480,5048513,3456,547666,16718,5003235,3802,692744,27058,5091517
884659,449458,2743,353799,3905,93738,2318,867305,718,88337,6034,854648,1432,101946,8090,879336
6829174,3329115,5649,2654737,12964,92930,1109,6719315,2809,681647,20293,6656385,3422,922176,25901,6772268
28995881,14385762,10844,9985126,25440,103203,793,28514428,5539,5233960,66634,28361423,8554,3865010,70183,28635442
3205958,1610671,2824,1023855,5773,107443,1857,3178394,1835,306856,16028,3157996,2043,281279,15513,3151239
623989,309164,1483,262767,3459,102634,3571,618064,329,27741,2906,599030,710,60897,4517,624340
8535519,4201799,7762,3191847,12998,123432,1491,8303671,6301,658286,21979,8279357,4204,822775,24460,8509358
7614893,3807572,4284,2932477,11062,122737,1259,7497453,3993,496047,18913,7470152,4462,730240,26102,7512465
1792147,885861,3559,728175,7273,78001,1826,1762052,1241,117644,7804,1739050,2527,278734,14047,1807426
5822434,2892804,3518,2386623,7340,100954,1113,5751404,1109,328654,12003,5675557,3164,591486,18294,5806975
578759,296005,2436,233128,3322,97241,4038,568859,919,70053,7237,563528,1747,56945,5626,581348
3193694,1515994,3217,1170982,9101,38273,1031,3169528,931,246065,11791,3167190,936,1376809,24017,3255642
4893186,2365734,1090,1888504,5749,86610,677,4813429,1038,455545,8039,4771614,1397,762642,11016,5039877
736990,384653,448,255173,1326,112443,1512,711104,874,89765,2897,719445,500,74369,3007,732673
