Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
10214860,4975458,7577,3656407,14418,82574,872,10024056,3586,1388400,25931,9943145,3984,1694988,33156,7998548,6350,7.1,0.2,13.0,0.4,3656407,14418,2261166,19480,993,10,909,6,10310371
1431603,724635,1325,445936,4817,104064,1942,1375062,2629,54531,4040,1394121,1528,147984,8530,1152884,1566,4.9,0.4,6.9,0.7,445936,4817,252435,5537,1576,50,1500,41,1428557
1654930,826819,2813,597421,4571,75766,1802,1632247,1674,180345,9768,1622116,2056,245551,13820,1270851,2653,5.4,0.5,10.9,0.8,597421,4571,411958,6794,883,21,770,15,1683140
12859995,6310435,4724,4794523,12954,97998,751,12679860,1448,900289,22221,12559422,3422,1703258,35831,10240058,5708,6.9,0.2,9.8,0.2,4794523,12954,3129641,16316,1171,8,936,6,12801539
6619680,3253089,4727,2515143,11611,80050,885,6520267,860,627761,17105,6417418,3611,933181,24656,5215392,4548,5.8,0.3,10.2,0.4,2515143,11611,1714880,13299,842,6,758,7,6633053
3123899,1549289,3241,1247249,6782,84151,1067,3080411,489,154970,8343,3021823,2361,367414,13279,2475140,3231,4.2,0.3,7.7,0.4,1247249,6782,881480,8544,834,9,718,8,3134693
2911641,1449224,3248,1111582,6565,88461,1644,2850159,1912,260508,11938,2830943,2019,368879,13898,2270108,3461,4.7,0.3,8.4,0.5,1111582,6565,738336,7661,893,11,782,10,2907289
4425092,2174892,4384,1716168,8844,73919,952,4342711,1272,261468,10664,4290022,2851,794055,21101,3531385,3734,6.5,0.3,14.0,0.5,1716168,8844,1138253,12189,737,8,702,8,4436974
4670724,2286299,5065,1737908,9569,77771,1187,4567431,2000,545631,16685,4541688,2472,889946,24422,3676681,4816,7.1,0.4,14.7,0.6,1737908,9569,1122294,10824,698,15,800,9,4681666
1329328,651030,2161,545226,5325,80726,2317,1314849,684,110508,7062,1292996,1632,172620,9255,1103834,2110,5.4,0.5,8.9,0.7,545226,5325,387101,5032,962,19,792,16,1331479
6006401,2912348,3611,2177934,7798,116057,1045,5908522,2325,389199,10972,5863290,3873,570776,21279,4814546,3848,5.5,0.2,6.7,0.4,2177934,7798,1436159,11090,1580,13,1278,14,6016447
6794422,3297384,2458,2559951,9181,116983,1177,6718090,912,189273,9166,6558724,2955,752071,21473,5578648,4136,5.8,0.2,7.9,0.4,2559951,9181,1579953,12525,1650,13,1164,11,6811779
9922576,4877067,3442,3858532,11041,82711,667,9810800,1072,596642,13958,9698396,3148,1529645,27659,7982332,4984,7.2,0.2,11.1,0.3,3858532,11041,2717217,13903,880,6,803,6,9928300
5489594,2730030,3746,2147262,7978,99981,1034,5431894,516,245108,11415,5366594,2516,546431,16392,4349038,3497,4.2,0.2,6.3,0.3,2147262,7978,1523273,9834,1114,9,888,9,5519952
2992333,1448495,4178,1104371,7926,64785,1062,2927568,1491,371585,12323,2896579,1923,637128,21554,2345713,3487,8.9,0.5,17.0,0.7,1104371,7926,744203,8716,636,13,724,10,2988726
6083672,2983645,4339,2374180,11426,80946,960,5969392,1755,583108,15239,5901967,3392,875495,21660,4851761,4984,5.3,0.2,10.2,0.3,2374180,11426,1570137,13846,869,9,763,7,6093000
1032949,519026,2303,414804,3749,81031,2051,1017458,835,118509,6686,1007727,1004,147287,8916,829911,1805,4.5,0.4,9.3,0.9,414804,3749,276490,4576,840,25,763,15,1042520
1896190,942589,2373,744159,3947,88112,1666,1866488,1069,153789,8658,1842682,1204,231321,10619,1476487,2458,3.2,0.2,8.5,0.6,744159,3947,490394,5329,941,13,750,11,1907116
2890845,1447456,1981,1042065,7714,80300,1279,2855974,1248,350684,12115,2850472,2159,418243,18129,2292699,2626,7.9,0.4,10.9,0.6,1042065,7714,562960,8151,1098,15,980,11,2940058
1330608,657716,1634,517615,4643,105754,2528,1314249,866,83388,5554,1288060,1341,106046,8442,1102089,1780,4.2,0.3,5.0,0.6,517615,4643,366739,5787,1458,24,1017,25,1334795
8958013,4374892,2401,3187963,9239,118641,1038,8850415,1208,771196,21895,8781575,3097,946114,26304,7193921,4401,6.6,0.2,8.1,0.3,3187963,9239,2009034,12864,1854,15,1214,8,8944469
2085109,1035143,3070,761797,5816,74126,1767,2050178,1243,224031,9476,2044431,1676,417834,15720,1642487,3706,7.4,0.5,14.8,0.8,761797,5816,513843,6398,771,23,783,15,2081015
19795791,9616592,4379,7233694,15840,104644,965,19556452,1993,1380548,24866,19283776,5245,2970032,47607,16066508,7092,6.5,0.1,11.6,0.2,7233694,15840,3838902,20752,1381,9,1173,7,19745289
10042802,4896006,6889,3843745,15042,80098,765,9855612,3797,1102787,22884,9790073,3862,1607835,31818,8011388,6201,6.9,0.2,11.8,0.3,3843745,15042,2455141,15671,909,7,827,6,10146788
756928,388152,2318,313475,3584,98585,2783,740547,930,57451,5025,731354,783,80170,5329,603014,1809,2.6,0.4,6.9,0.9,313475,3584,193342,4346,767,25,775,16,757953
11613423,5683951,3926,4606655,12584,83011,661,11442029,985,746276,18672,11295340,4411,1674415,34580,9295255,5227,6.4,0.2,10.7,0.3,4606655,12584,3013093,17798,915,7,746,4,11614373
3911338,1939555,2785,1465951,6457,78169,928,3830329,1616,532509,11610,3795764,1895,610828,15093,3053371,2846,5.5,0.2,11.7,0.4,1465951,6457,957858,7425,750,11,759,7,3923561
4028977,1992162,3716,1553205,7348,85527,1146,3991133,495,280263,12258,3952077,2585,607029,22484,3268296,3475,6.8,0.4,9.9,0.5,1553205,7348,948891,9420,1166,15,943,9,4093465
12802503,6262246,3925,4956037,11868,90802,705,12599417,801,801927,17402,12385716,4035,1629995,31848,10429005,5456,6.3,0.2,9.1,0.3,4956037,11868,3405756,16407,987,7,868,5,12784227
1056298,511773,1621,407484,4045,94929,2669,1041268,531,59410,5731,1016343,626,141035,9670,870136,1701,6.2,0.5,10.1,1.0,407484,4045,240618,5236,1453,29,938,13,1056426
4896146,2385096,4581,1857768,9376,76253,1019,4801301,2216,523228,14187,4750144,3538,790715,22651,3931185,4079,7.3,0.3,12.1,0.5,1857768,9376,1265627,11974,807,11,819,9,4961119
858469,431540,2030,339437,2931,83560,2190,841363,603,85915,5350,829644,1156,114071,7467,671301,1892,4.0,0.5,8.3,0.8,339437,2931,231452,4098,824,18,675,18,865454
6600299,3214689,5166,2530260,10743,77498,1040,6496300,2363,667417,19481,6440381,3291,1077900,30450,5277935,4114,6.2,0.3,12.3,0.4,2530260,10743,1665498,14709,813,9,785,6,6651194
27469114,13625413,9367,9421412,21122,89670,672,26990435,4141,4615225,54614,26846203,6615,4255517,65900,21043248,10946,5.5,0.1,12.2,0.2,9421412,21122,5752826,28478,1016,8,932,5,27862596
2995919,1506383,2521,930980,5092,88958,1426,2971003,686,311341,13589,2947861,2168,331854,15217,2180281,3049,4.0,0.3,8.3,0.5,930980,5092,641215,6863,1144,15,925,12,3051217
626042,308552,1074,254865,3016,91719,2593,620107,172,23676,2318,600659,867,61314,5009,521616,1142,3.8,0.6,5.8,0.7,254865,3016,180212,3547,1191,27,923,22,624594
8382993,4126326,5923,3106895,11857,105386,969,8162517,4887,746293,22527,8131328,3187,909346,25335,6721590,5245,5.5,0.2,7.8,0.3,3106895,11857,2019869,15507,1268,12,1144,10,8411808
7170351,3585221,4421,2728573,8477,99545,1204,7066812,2751,467967,12507,7036725,3798,857801,23751,5741873,4340,6.0,0.2,7.9,0.3,2728573,8477,1703269,13837,1324,11,1080,10,7288000
1844128,908559,2519,734536,5346,67341,1285,1815505,361,108082,6419,1793096,1902,321583,14177,1508224,2259,7.3,0.5,13.5,0.8,734536,5346,531151,6909,501,14,675,12,1831102
5771337,2868297,3334,2319538,7046,86652,794,5698995,715,322616,9613,5620223,2582,677964,19332,4627790,3538,4.3,0.2,7.9,0.3,2319538,7046,1549143,11056,1034,8,792,5,5778709
586107,295102,2375,228937,3666,87755,2585,576557,733,66494,5552,572319,727,63425,7239,460730,2967,4.8,0.8,6.7,1.1,228937,3666,155575,3816,902,45,815,32,585501
3474182,1657467,3618,1221851,9077,34769,901,3447794,522,196706,9254,3443611,865,1586285,22921,2833603,2799,18.9,0.6,42.5,0.7,1221851,9077,836820,8764,268,5,433,9,3411307
4863300,2356052,5269,1852518,12189,78413,1195,4782529,1623,434973,14219,4741329,2442,810231,23417,3897741,5319,6.4,0.3,12.7,0.5,1852518,12189,1268138,12239,728,10,743,8,4874747
741894,390573,2254,248468,2841,103554,2617,718419,1649,100628,6290,723968,1193,71566,6534,575088,1406,8.0,0.8,6.7,0.8,248468,2841,160215,3268,1360,56,1208,34,739795
6931071,3444228,2680,2519052,11479,85227,1130,6824645,1497,681238,21010,6771098,3965,1107464,27786,5483490,3781,6.5,0.2,11.9,0.4,2519052,11479,1593014,12380,975,11,976,7,7016270
2988248,1468782,4455,1142718,7341,73091,1098,2934272,895,231775,12289,2898630,2550,499225,17721,2358465,4617,5.1,0.3,12.4,0.6,1142718,7341,737632,8928,645,14,701,9,3004279
39250017,19491231,4158,12944178,15703,108073,571,38763815,5125,2843903,40593,38513258,8112,5525524,66544,31191530,9769,6.5,0.1,10.5,0.2,12944178,15703,6943428,26799,1691,8,1375,5,39536653
5540545,2790701,3484,2108992,7767,104274,1291,5447760,2796,409743,14338,5420327,2295,598736,17942,4417829,3311,4.7,0.2,7.0,0.4,2108992,7767,1365832,12605,1292,11,1171,10,5607154
3576452,1745153,1844,1357269,7141,127843,2108,3525154,1010,172214,10800,3469514,1932,339128,14645,2919678,3102,6.4,0.3,6.8,0.5,1357269,7141,879073,9745,1613,18,1115,11,3588184
952065,460232,1173,351085,3936,94643,2557,937935,681,53139,4523,926864,1051,108211,8223,771059,1606,5.7,0.7,8.1,0.9,351085,3936,245005,4786,1095,27,1048,25,961939
681170,323591,455,281241,3152,148208,8228,670985,594,26346,4201,647654,966,120308,9084,569932,1139,6.9,0.7,13.7,1.6,281241,3152,110376,3494,1957,64,1376,32,693972
20612439,10070860,6755,7573456,23478,84770,667,20294479,4316,2544247,47400,20191342,6143,2973512,48474,16950176,9323,6.0,0.1,10.5,0.2,7573456,23478,4857125,26450,958,7,1086,6,20984400
10310371,5018150,8005,3686135,15528,87774,936,10120788,3683,1309573,29878,10040201,4550,1603013,34382,8085411,7721,6.0,0.2,12.0,0.4,3686135,15528,2268606,20528,990,10,933,7,10429379
1428557,718057,1805,455868,4824,108116,1970,1378730,2525,48673,5098,1389442,1866,129569,10361,1152321,1857,4.4,0.4,6.0,0.7,455868,4824,260626,4898,1577,47,1483,28,1427538
1683140,841203,2599,610872,4143,79746,2237,1662867,795,168110,8431,1652592,1607,237445,15728,1296599,2599,4.7,0.5,10.0,0.9,610872,4143,418217,6970,884,19,790,17,1716943
12801539,6289724,4413,4822046,12932,100978,844,12620388,1326,816602,19833,12502057,3937,1621508,35297,10222986,6129,6.3,0.1,9.5,0.3,4822046,12932,3146858,18286,1163,9,950,6,12802023
6633053,3267337,5176,2533270,10440,82886,900,6534914,919,530363,16938,6432804,3045,906077,22930,5239497,4973,5.0,0.2,9.6,0.4,2533270,10440,1731421,12509,818,7,768,6,6666818
3134693,1556668,2984,1247932,7106,88997,1297,3091437,506,131612,7626,3031338,2083,356378,12582,2489194,2704,3.9,0.2,7.6,0.4,1247932,7106,881435,7975,847,10,741,9,3145711
2907289,1448853,4227,1110407,6778,89261,1119,2850862,1447,248974,8897,2825864,1863,342544,14393,2273338,3474,4.5,0.3,7.9,0.5,1110407,6778,729392,8711,885,14,789,10,2913123
4436974,2179814,4640,1717706,9131,77077,1037,4354380,1440,223350,9568,4298953,3416,794060,24195,3542057,4236,6.0,0.3,14.0,0.6,1717706,9131,1148175,11051,756,10,707,8,4454189
4681666,2291880,4966,1720801,8997,78660,1278,4577182,1950,469832,17233,4546017,4194,918187,25851,3690800,4784,7.0,0.3,15.4,0.6,1720801,8997,1105710,12317,692,16,808,10,4684333
1331479,650702,1923,531660,5774,83973,1847,1317148,565,105973,6588,1295971,1363,161749,10063,1108711,1960,4.4,0.4,7.6,0.8,531660,5774,382116,6101,945,18,797,23,1335907
6016447,2917773,2890,2194657,9484,119462,1177,5918535,2341,363179,15850,5875026,3123,567715,17097,4819956,4066,5.4,0.2,6.3,0.3,2194657,9484,1445953,10330,1572,14,1314,10,6052177
6811779,3305817,2430,2579398,8290,122310,1247,6736017,1301,171059,10434,6574249,2698,686597,20435,5601991,3487,5.3,0.2,7.3,0.3,2579398,8290,1598930,10736,1647,14,1179,12,6859819
9928300,4883220,3044,3884153,13696,87436,686,9818099,823,526990,13966,9702321,3906,1451936,23392,8002285,5668,6.2,0.2,10.2,0.2,3884153,13696,2731283,14647,876,6,818,6,9962311
5519952,2747946,3202,2148725,7378,104507,1185,5462438,681,224946,9838,5396363,2285,533276,15913,4375523,4084,3.8,0.2,5.9,0.2,2148725,7378,1532031,9426,1128,9,912,9,5576606
2988726,1440934,5584,1091245,8803,69954,1289,2924168,1457,346181,12277,2892894,2014,602768,21320,2349401,4775,7.7,0.5,16.5,0.8,1091245,8803,734114,9343,625,14,728,11,2984100
6093000,2994651,4432,2372190,10844,84680,1061,5977199,1793,531923,14293,5911040,3431,826954,22623,4865244,5197,4.9,0.2,9.8,0.4,2372190,10844,1567597,13680,866,11,771,6,6113532
1042520,526023,2537,416125,4426,85935,2533,1027510,634,83416,5613,1018105,1144,135638,7800,838974,2147,4.8,0.4,8.0,0.8,416125,4426,282995,5662,827,31,741,17,1050493
1907116,950124,2703,747562,4452,91006,1570,1877654,1048,160563,9069,1851069,1911,211453,10293,1484034,2270,3.7,0.3,7.4,0.6,747562,4452,488339,5373,930,12,769,10,1920076
2940058,1473153,2014,1055158,6433,84294,1562,2905767,1083,330418,13329,2896888,3250,399420,18626,2339612,2981,6.7,0.4,10.2,0.7,1055158,6433,578762,7662,1103,15,1003,13,2998039
1334795,664722,1972,520643,5191,107498,2150,1316467,851,77677,5824,1292255,1106,94289,7685,1108050,2042,3.6,0.4,4.0,0.6,520643,5191,365021,5402,1440,25,1026,23,1342795
8944469,4370211,2131,3194519,10274,123820,1070,8837578,1301,704970,18842,8769487,3021,915913,28791,7197473,4317,6.0,0.2,7.6,0.3,3194519,10274,2019927,14176,1848,14,1244,9,9005644
2081015,1030224,3062,758364,6296,75682,1910,2046001,1490,187689,10467,2039449,1699,404463,15353,1650960,2922,7.5,0.5,15.3,0.8,758364,6296,511099,7819,752,23,804,16,2088070
19745289,9582050,4460,7209054,17665,109325,848,19505596,2238,1182694,26368,19230198,5205,2832824,38578,16048423,7037,5.9,0.1,10.9,0.2,7209054,17665,3841170,19390,1358,9,1194,7,19849399
10146788,4933381,6593,3882423,16063,83110,935,9957830,4137,1038399,21012,9886033,3818,1521880,32197,8115833,6864,6.2,0.2,11.2,0.3,3882423,16063,2493388,15093,898,9,839,5,10273419
757953,390181,2294,315134,3356,96337,2834,741486,1317,52138,4753,731759,1407,78464,6184,600126,1658,2.8,0.5,6.4,1.0,315134,3356,199208,3641,759,23,776,17,755393
11614373,5691600,5306,4624669,14929,85971,764,11439848,1446,643728,17556,11287401,5000,1645382,32693,9318105,5116,5.7,0.2,10.5,0.3,4624669,14929,3022809,18037,903,7,759,4,11658609
3923561,1943273,2726,1469342,7193,79317,1036,3845697,1477,529658,12674,3809431,1956,620377,15205,3063649,2579,6.0,0.3,11.5,0.4,1469342,7193,953552,7733,757,11,744,7,3930864
4093465,2026038,3925,1571678,6691,91056,1204,4054353,734,252766,10000,4016520,2426,536146,18071,3327652,3040,5.7,0.3,8.5,0.5,1571678,6691,969579,10315,1199,14,1015,14,4142776
12784227,6262870,4620,4937771,13721,93966,647,12579422,1164,708477,20901,12368256,3787,1592045,30765,10427404,5796,5.8,0.2,8.6,0.2,4937771,13721,3382514,17950,975,6,881,5,12805537
1056426,511358,1550,408239,4139,98328,2922,1040259,649,44966,4753,1015892,798,129932,9143,874310,1685,5.9,0.5,9.2,1.0,408239,4139,236882,4213,1406,32,948,17,1059639
4961119,2405343,4669,1877887,10574,80819,1262,4861188,2481,485906,13757,4820419,2587,735960,23271,3986784,4017,6.3,0.3,10.8,0.5,1877887,10574,1288871,12866,806,13,841,9,5024369
865454,435668,1995,334003,3659,85597,2725,848774,457,74218,4469,837292,989,110962,6706,673517,1970,3.9,0.4,8.2,0.7,334003,3659,224459,3798,834,24,706,19,869666
6651194,3247058,5229,2556332,11690,80669,948,6546914,2577,592310,15675,6489032,3408,1023177,25829,5320715,5487,5.5,0.2,11.6,0.4,2556332,11690,1664018,15061,809,10,806,8,6715984
27862596,13830953,9002,9535612,20125,91361,535,27386023,4419,4545380,55376,27236443,6495,4261337,60018,21368307,10314,5.6,0.1,12.0,0.2,9535612,20125,5825471,27395,1014,8,956,4,28304596
3051217,1538145,2539,943147,4975,92548,1414,3024767,1289,264807,11807,3004148,2144,306902,15189,2228666,3273,4.1,0.3,7.2,0.5,943147,4975,659266,7711,1176,16,954,14,3101833
624594,307874,1372,254851,2815,92503,2938,618622,345,22994,2434,600077,990,71329,5685,519521,1311,3.9,0.5,7.7,1.0,254851,2815,177772,3783,1162,25,925,21,623657
8411808,4135485,5825,3120692,13161,110321,1002,8199576,4534,714884,21273,8158241,3830,896440,28235,6761091,5909,5.0,0.2,7.6,0.3,3120692,13161,2037641,16261,1262,11,1159,13,8470020
7288000,3639726,3669,2768076,8506,105101,1208,7184110,3147,428092,14567,7156306,2413,805691,22400,5841524,4882,5.4,0.2,7.1,0.3,2768076,8506,1729320,12424,1353,11,1135,10,7405743
1831102,900913,3026,722125,5656,71880,1493,1802572,374,95882,6169,1779919,1541,319063,13661,1499100,2646,7.6,0.5,12.9,0.8,722125,5656,523078,7047,527,15,682,15,1815857
5778709,2872921,3718,2326998,7745,90361,905,5706681,824,300206,9992,5628565,2951,661565,19715,4646895,3578,4.1,0.2,7.7,0.4,2326998,7745,1551232,10480,1018,9,802,7,5795483
585501,298205,2006,223619,4088,88958,3063,576027,635,66513,5910,571169,936,64663,5547,459694,2167,5.6,0.6,6.3,1.0,223619,4088,153894,4084,904,44,840,32,579315
3411307,1625567,3242,1208438,9900,35235,850,3384148,818,208181,10502,3379483,1634,1469382,26573,2809340,2920,16.2,0.7,39.4,0.8,1208438,9900,821672,8711,255,8,463,12,3337177
4874747,2359896,5397,1841665,12421,79810,1098,4793512,2005,448926,16295,4752560,2493,802656,24897,3906384,4456,5.8,0.3,12.8,0.5,1841665,12421,1253199,12678,716,12,750,11,4887871
739795,385776,2177,250741,3074,104901,3339,716178,2175,97796,6010,720472,1555,80012,7303,573196,1289,7.6,0.7,7.4,0.9,250741,3074,159344,3559,1373,47,1201,41,737438
7016270,3487722,3229,2552972,11005,89647,891,6908121,2138,694790,20212,6856067,3981,1018935,28419,5571583,4735,5.8,0.3,10.7,0.4,2552972,11005,1652321,12356,1009,11,1020,9,7171646
3004279,1479682,4363,1153082,8560,76134,1261,2949305,1321,231802,10148,2916321,2511,478365,17030,2375324,3142,5.6,0.3,11.6,0.6,1153082,8560,752399,11287,666,13,711,10,3013825
39536653,19650051,4631,13005097,17539,113488,642,39046835,5485,2796589,34155,38793027,8845,5160208,71947,31510759,11155,5.9,0.1,9.6,0.2,13005097,17539,7125090,26839,1745,8,1447,5,39557045
5607154,2820169,3314,2139207,8774,109022,1369,5514070,3163,414077,13107,5483104,3121,564312,17223,4488813,4636,4.2,0.2,6.7,0.3,2139207,8774,1394824,10847,1353,13,1240,13,5695564
3588184,1750647,2313,1356762,6513,129913,2323,3536522,1187,193796,11947,3482584,1446,334128,18741,2937891,3242,6.1,0.3,6.4,0.5,1356762,6513,898234,7622,1616,17,1125,13,3572665
961939,465510,1455,357937,4266,101186,3321,947259,967,51243,5335,934947,1486,126986,9341,781963,1680,5.3,0.7,9.2,1.0,357937,4266,253948,5292,1160,30,1086,22,967171
693972,329078,543,281475,3302,155436,6125,683808,611,26011,4044,660642,544,109920,7135,579654,1066,6.6,0.7,13.3,1.3,281475,3302,118805,3235,1977,70,1499,35,702455
20984400,10254267,6257,7689964,22835,88588,675,20678704,3256,2676147,42715,20569920,5871,2889506,57828,17280632,7551,5.5,0.1,10.1,0.2,7689964,22835,5010187,26720,968,7,1128,5,21299325
10429379,5070721,7009,3745074,16431,91908,902,10241594,3158,1375176,29378,10154747,5504,1517702,49244,8196727,6599,5.8,0.2,11.1,0.4,3745074,16431,2354922,19925,1004,10,958,8,10519475
1427538,716350,1229,458078,4221,111297,2171,1373202,2427,52827,4819,1388550,1566,132549,8537,1153457,1583,4.2,0.4,7.4,0.7,458078,4221,268078,4714,1608,54,1573,36,1420491
1716943,862720,2562,625135,5980,82950,2352,1695273,1260,172013,8725,1686491,1808,216309,12513,1328549,2458,4.1,0.4,8.6,0.8,625135,5980,435493,6933,926,15,822,16,1754208
12802023,6294900,4043,4808672,14430,105077,719,12620126,1888,859257,23449,12503720,3612,1569753,35647,10249521,6130,6.1,0.2,9.0,0.3,4808672,14430,3182232,18239,1172,7,974,6,12741080
6666818,3286152,4731,2557299,10669,85034,954,6568434,898,536399,17726,6463636,3761,871247,27337,5275305,4784,4.7,0.2,9.2,0.4,2557299,10669,1765500,14956,835,7,793,6,6691878
3145711,1562265,3423,1257505,6773,91680,1305,3102179,690,146017,7768,3044685,1941,326636,11546,2498697,3204,3.6,0.2,6.7,0.4,1257505,6773,900362,9741,879,11,760,9,3156145
2913123,1452573,3593,1128983,6821,91517,1402,2855454,1638,249392,10709,2827376,2621,336487,14398,2279858,3698,4.2,0.2,7.9,0.4,1128983,6821,743508,8948,905,13,815,11,2911510
4454189,2194850,3942,1725034,10346,80079,1027,4370940,1538,235227,12398,4316917,3015,744239,20861,3553101,4391,5.5,0.2,12.9,0.5,1725034,10346,1146668,12735,765,12,724,8,4468402
4684333,2289695,5223,1737123,11255,79996,1129,4580258,1767,382649,13089,4553037,2611,899039,27219,3699819,4896,6.5,0.3,14.7,0.6,1737123,11255,1132229,12824,708,16,836,9,4659978
1335907,654763,1582,540959,6050,89287,2232,1321649,577,107067,6271,1301216,1023,144012,7961,1114189,1976,4.2,0.4,6.3,0.6,540959,6050,395809,5987,939,20,806,22,1338404
6052177,2935822,3231,2207343,8135,123678,1277,5957871,2105,365597,14876,5915309,2385,549171,21371,4855374,4269,5.2,0.2,6.2,0.3,2207343,8135,1472500,10315,1566,15,1337,12,6042718
6859819,3333270,2435,2604954,9148,127223,1385,6785622,1021,189801,9570,6622444,3515,692201,22499,5660731,3845,4.6,0.2,7.2,0.3,2604954,9148,1623515,11340,1694,15,1208,12,6902149
9962311,4907242,3801,3930017,12926,90138,716,9853156,970,509539,14890,9730205,4206,1377766,28586,8052502,5426,5.9,0.2,9.7,0.3,3930017,12926,2803372,15813,885,6,835,6,9995915
5576606,2780714,3477,2162211,7968,109540,1140,5519199,675,242509,10683,5450582,2783,517476,15252,4422835,3762,3.6,0.2,5.8,0.3,2162211,7968,1547594,10546,1157,9,939,10,5611179
2984100,1446473,5342,1091980,9693,71819,1429,2920808,1463,351754,14730,2889851,1968,571219,15607,2351836,3809,7.0,0.5,14.9,0.7,1091980,9693,748055,10139,595,15,742,11,2986530
6113532,3002694,5152,2385135,13054,87144,954,6000326,1538,548271,16930,5928516,4473,795732,21880,4885700,6327,4.6,0.2,9.2,0.4,2385135,13054,1596870,15553,872,9,800,9,6126452
1050493,526357,2053,423091,4068,86122,2618,1036245,559,87709,5597,1024513,1940,127777,8406,846678,1924,3.5,0.4,7.7,0.9,423091,4068,292585,4359,879,28,759,20,1062305
1920076,959273,2628,754490,4583,92849,1644,1891453,931,156784,7400,1865038,1585,200909,11487,1496751,2116,3.3,0.3,7.2,0.7,754490,4583,500086,6928,975,13,801,13,1929268
2998039,1506252,2138,1094613,6821,89666,1600,2962236,1424,332624,13150,2954279,2075,384120,18511,2390188,2895,5.9,0.4,9.1,0.6,1094613,6821,619309,7889,1139,16,1051,13,3034392
1342795,665741,2040,528700,4349,111903,2408,1325016,952,77059,5460,1298898,1427,99966,7412,1118608,2030,3.8,0.4,4.9,0.6,528700,4349,369037,5901,1477,30,1072,21,1356458
9005644,4396848,2405,3218798,8951,128266,1096,8902432,1561,688068,17450,8831200,2566,882673,28071,7265350,4893,5.3,0.2,7.3,0.3,3218798,8951,2053929,12820,1848,14,1284,11,8908520
2088070,1034144,3903,767705,6614,76126,1647,2054301,1433,186996,11840,2044187,1832,401755,16280,1654690,3340,6.6,0.6,15.2,0.8,767705,6614,521450,7322,743,26,813,18,2095428
19849399,9637896,4655,7304332,18884,113760,1088,19608066,2106,1112942,26717,19337685,4757,2722257,47366,16178211,7699,5.5,0.1,10.4,0.2,7304332,18884,3930033,20800,1379,11,1226,8,19542209
10273419,4998538,6368,3955069,14774,88118,795,10070781,3392,1075983,24107,10009042,3839,1471339,35219,8248651,6068,5.3,0.2,10.6,0.3,3955069,14774,2586616,16311,896,7,861,6,10383620
755393,388300,1955,316306,3300,100402,2989,738177,1431,55582,4725,729355,1188,75279,5405,599020,1466,2.9,0.4,6.1,0.7,316306,3300,200554,4137,823,34,785,19,760077
11658609,5709254,5453,4667192,13650,88326,775,11485078,1447,686014,22201,11330762,4496,1582931,31003,9366669,5590,5.2,0.2,9.8,0.3,4667192,13650,3070181,16573,896,7,772,5,11689442
3930864,1948986,3727,1470364,5913,80270,1039,3851302,1847,545483,11559,3814990,2186,603864,16323,3075002,3013,5.4,0.3,11.6,0.5,1470364,5913,962483,6980,760,9,780,7,3943079
4142776,2054016,3867,1603635,8695,94331,1296,4102901,1020,280816,12133,4064467,2475,537974,19115,3370795,3901,5.1,0.3,8.8,0.5,1603635,8695,1007015,9420,1265,15,1079,12,4190713
12805537,6272521,3801,5008751,12653,98834,694,12602472,1128,692203,21008,12398112,4585,1548720,31552,10459220,4797,5.3,0.2,8.1,0.3,5008751,12653,3421017,18098,996,6,893,5,12807060
1059639,513198,1829,408748,4427,104534,2793,1044111,858,48190,4466,1018556,943,118367,9887,877959,1866,5.7,0.6,7.9,1.1,408748,4427,248723,5299,1506,31,941,19,1057315
5024369,2436902,5724,1905100,10277,83365,1272,4928260,2320,541533,16810,4882720,2812,751907,19900,4049809,4460,5.8,0.3,11.3,0.4,1905100,10277,1309670,12305,796,13,848,9,5084127
869666,438429,2741,344260,3147,88962,2523,851826,955,77338,4822,838991,1814,109099,6423,679688,1591,3.5,0.5,8.4,0.8,344260,3147,233092,4186,834,23,722,18,882235
6715984,3272135,5451,2588655,10916,85424,1219,6612552,2386,629142,18999,6555389,3060,980284,25177,5385691,5626,4.9,0.3,10.9,0.4,2588655,10916,1693790,16621,807,11,833,9,6770010
